TT  PID  AT  CT  IO_D  WT  RT  TRT
15   1    5   249    0   -239   0   10
65   3    7   58    0   0   0   58
75   11    18   10    0   47   0   57
81   19    36   36    0   9   9   45
85   4    9   76    0   0   0   76
119   34    56   38    0   25   25   63
123   54    87   4    0   32   32   36
126   6    10   116    0   0   0   116
137   13    21   21    0   95   105   116
150   58    91   13    0   46   29   59
154   5    10   144    0   0   0   144
159   82    124   26    0   9   9   35
163   26    42   9    0   112   112   121
172   93    139   24    0   9   9   33
189   83    125   30    0   34   34   64
192   129    185   5    0   2   2   7
203   69    103   61    0   39   27   100
211   77    114   11    0   86   7   97
216   126    180   24    0   12   12   36
231   67    102   38    0   91   -1   129
237   185    46   141    0   50   -1   191
237   186    59   232    0   -54   -1   178
237   111    166   121    0   -50   -1   71
237   149    213   121    0   -97   -1   24
237   156    228   18    0   -9   -1   9
237   157    229   212    0   -204   -1   8
237   8    14   164    0   59   9   223
239   138    198   37    0   4   4   41
244   75    111   9    0   124   52   133
249   128    184   33    0   32   32   65
288   152    220   37    0   31   31   68
291   184    34   153    0   104   -1   257
291   24    38   241    0   12   12   253
303   173    254   195    0   -146   -1   49
303   65    99   275    0   -71   -1   204
303   187    63   228    0   12   -1   240
303   190    295   8    0   0   -1   8
303   94    140   131    0   32   32   163
307   68    102   61    0   144   21   205
314   171    250   7    0   57   57   64
338   163    235   29    0   74   79   103
338   153    223   110    0   5   5   115
346   9    17   73    34   256   0   329
365   172    253   27    0   85   85   112
369   167    243   38    0   88   95   126
394   53    86   33    0   275   30   308
396   102    152   71    0   173   242   244
413   105    157   18    0   238   237   256
415   43    69   58    0   288   170   346
421   169    248   8    0   165   160   173
431   117    172   64    0   195   2   259
454   189    282   172    0   0   -1   172
454   181    269   177    0   8   8   185
474   110    164   187    21   123   39   310
475   175    257   54    0   164   164   218
480   160    231   17    19   232   8   249
501   193    455   115    0   -69   -1   46
501   124    179   91    0   231   75   322
501   118    173   115    0   213   34   328
501   182    269   63    0   169   152   232
501   108    162   269    0   70   23   339
501   166    242   45    0   214   189   259
501   70    103   78    0   320   26   398
501   49    79   95    0   327   19   422
501   41    67   139    0   295   13   434
501   59    94   195    0   212   26   407
501   56    90   277    0   134   18   411
501   159    231   92    0   178   13   270
501   116    172   108    0   221   262   329
501   162    232   185    0   84   159   269
501   123    179   271    0   51   218   322
501   194    474   27    0   0   1   27
501   188    229   74    0   198   85   272
533   86    128   99    0   306   306   405
549   57    91   27    36   431   26   458
562   150    214   16    0   332   98   348
582   79    118   29    0   435   76   464
623   99    148   90    0   385   15   475
625   100    150   67    0   408   22   475
638   48    78   53    38   507   230   560
645   45    73   145    0   427   236   572
659   125    180   50    14   429   69   479
661   91    136   41    0   484   13   525
674   109    164   36    0   474   30   510
707   97    143   82    0   482   161   564
741   27    45   39    0   657   185   696
752   22    36   93    0   623   9   716
756   183    272   99    48   385   9   484
767   198    644   120    0   3   -1   123
767   199    647   117    0   3   -1   120
767   197    633   125    0   9   6   134
769   40    66   69    0   634   195   703
771   50    81   62    21   628   8   690
808   140    200   105    0   503   186   608
877   154    226   142    0   509   101   651
899   106    158   70    0   671   9   741
923   165    239   178    0   506   231   684
940   23    36   128    0   776   234   904
942   192    348   106    0   488   -1   594
942   195    505   292    0   145   -1   437
942   196    559   238    0   145   1   383
942   202    778   164    0   0   -1   164
942   191    306   296    0   340   195   636
942   200    716   221    0   5   5   226
961   18    34   102    0   825   192   927
1003   36    60   78    0   865   339   943
1023   114    171   100    0   752   290   852
1083   132    189   104    0   790   241   894
1104   81    121   159    0   824   82   983
1130   203    939   209    0   -18   7   191
1130   96    141   198    0   791   162   989
1130   148    210   264    0   656   121   920
1130   66    100   286    0   744   315   1030
1130   139    198   71    0   861   129   932
1130   147    209   118    17   803   2   921
1130   161    232   147    0   751   207   898
1130   207    1010   134    0   -14   -1   120
1130   208    1020   124    0   -14   -1   110
1130   80    120   214    0   796   190   1010
1130   76    114   295    0   721   267   1016
1130   206    988   142    0   0   14   142
1130   201    765   177    0   188   179   365
1193   95    141   164    0   888   162   1052
1204   113    171   132    0   901   109   1033
1215   61    96   90    0   1029   186   1119
1282   74    110   161    0   1011   326   1172
1282   30    48   132    0   1102   11   1234
1289   145    206   122    0   961   181   1083
1291   16    30   175    77   1086   0   1261
1308   31    51   262    0   995   757   1257
1329   112    169   96    0   1064   285   1160
1334   144    203   241    11   890   169   1131
1340   143    203   188    0   949   160   1137
1346   214    1264   76    0   6   6   82
1396   216    1332   60    0   4   4   64
1440   88    131   115    0   1194   324   1309
1477   133    192   112    42   1173   228   1285
1479   155    226   115    0   1138   110   1253
1486   62    96   115    50   1275   360   1390
1503   122    176   118    0   1209   67   1327
1511   84    126   157    11   1228   331   1385
1552   120    174   110    0   1268   42   1378
1606   29    47   170    63   1389   298   1559
1614   136    193   177    0   1244   161   1421
1625   46    74   202    0   1349   51   1551
1678   28    47   136    49   1495   16   1631
1693   223    1508   185    0   0   -1   185
1693   224    1512   180    0   1   -1   181
1693   225    1513   180    0   0   -1   180
1693   220    1440   244    0   9   8   253
1693   222    1488   204    0   1   1   205
1746   14    24   142    0   1580   7   1722
1749   38    60   152    0   1537   25   1689
1751   221    1441   58    0   252   252   310
1764   42    69   226    70   1469   14   1695
1855   15    27   294    0   1534   48   1828
1863   89    131   115    0   1617   402   1732
1875   179    266   258    0   1351   190   1609
1875   142    201   223    0   1451   192   1674
1918   146    209   201    0   1508   181   1709
1948   32    53   135    0   1760   99   1895
1965   218    1406   269    0   290   9   559
1996   210    1140   276    0   580   -1   856
1996   211    1147   269    0   580   -1   849
1996   212    1164   203    0   629   -1   832
1996   215    1326   20    0   650   -1   670
1996   217    1358   38    0   600   -1   638
