TT  PID  AT  CT  IO_D  WT  RT  TRT
8   3    8   0    0   0   0   0
38   7    18   20    0   0   0   20
54   22    29   198    0   -173   -1   25
54   136    53   256    0   -255   -1   1
54   130    11   27    0   16   16   43
63   27    36   25    0   2   2   27
85   5    13   72    0   0   0   72
92   131    14   24    0   54   -1   78
92   28    36   109    0   -53   -1   56
92   137    69   203    0   -180   -1   23
92   140    84   188    0   -180   -1   8
92   1    4   34    0   54   0   88
100   13    24   72    0   4   4   76
118   47    68   34    0   16   16   50
125   12    22   38    0   65   70   103
147   78    104   22    0   21   21   43
182   142    179   3    0   0   1   3
182   66    94   116    0   -28   -1   88
182   67    95   244    0   -157   -1   87
182   68    96   15    0   71   -1   86
182   69    96   37    0   49   -1   86
182   73    101   80    0   1   -1   81
182   77    103   135    0   -56   -1   79
182   74    101   105    0   -24   -1   81
182   52    74   281    0   -173   -1   108
182   17    27   289    0   -134   -1   155
182   134    40   14    0   128   -1   142
182   139    78   121    0   -17   -1   104
182   132    20   218    0   -56   34   162
182   121    165   5    0   12   12   17
182   21    28   35    0   119   119   154
199   143    188   201    0   -190   -1   11
199   44    65   54    0   80   -1   134
199   101    138   92    0   -31   -1   61
199   51    72   158    0   -31   -1   127
199   37    49   209    0   -59   3   150
199   76    102   230    0   -133   -1   97
199   87    113   266    0   -180   -1   86
199   141    172   185    0   -158   -1   27
199   129    10   228    0   -39   -1   189
199   40    56   139    0   4   4   143
214   104    145   67    0   2   2   69
229   94    125   20    0   84   32   104
241   85    111   127    0   3   3   130
241   15    24   46    0   171   39   217
247   48    69   174    0   4   -1   178
247   2    7   231    0   9   0   240
247   50    72   17    22   158   1   175
254   19    28   72    0   154   154   226
255   97    132   8    0   115   115   123
259   95    127   22    0   110   42   132
274   109    150   60    0   64   64   124
293   126    170   46    0   77   89   123
343   25    33   84    0   226   226   310
358   56    81   138    0   139   37   277
379   112    151   9    5   219   104   228
393   71    99   75    0   219   29   294
393   135    52   2    0   339   -1   341
393   102    141   266    0   -14   52   252
393   149    245   147    0   1   -1   148
393   138    72   127    0   194   -1   321
393   111    151   230    0   12   35   242
393   115    153   233    0   7   141   240
393   57    83   233    0   77   147   310
393   154    383   114    0   -104   -1   10
393   35    45   129    0   219   5   348
393   80    105   205    0   83   113   288
393   45    65   99    0   229   -1   328
393   124    170   243    0   -20   -1   223
393   93    123   160    0   110   84   270
393   29    36   79    0   278   -1   357
393   114    153   135    0   105   42   240
393   34    42   209    0   142   93   351
393   144    191   29    0   173   -1   202
393   150    252   141    0   0   -1   141
393   4    10   203    27   180   0   383
393   147    229   163    0   1   1   164
394   145    202   189    0   3   1   192
397   133    22   191    0   184   -1   375
397   36    46   44    23   307   10   351
416   96    129   30    0   257   61   287
460   38    50   132    0   278   12   410
496   42    62   133    0   301   212   434
505   59    87   28    29   390   3   418
511   43    64   139    0   308   182   447
548   152    369   55    0   124   -1   179
548   153    382   115    0   51   -1   166
548   159    464   85    0   -1   -1   84
548   155    405   143    0   0   -1   143
548   157    428   151    0   -31   3   120
548   146    206   185    0   157   188   342
548   158    452   96    0   0   1   96
548   120    162   191    29   195   4   386
548   160    479   70    0   -1   -1   69
548   148    238   155    0   155   155   310
560   8    19   186    0   355   0   541
618   53    76   152    0   390   17   542
621   70    96   202    0   323   234   525
624   30    39   70    0   515   186   585
625   79    104   99    0   422   239   521
628   90    118   297    0   213   113   510
628   119    160   210    0   258   35   468
628   151    364   127    0   137   6   264
675   24    32   105    0   538   1   643
759   46    66   134    0   559   372   693
769   11    21   207    0   541   0   748
786   165    657   130    0   -1   -1   129
786   166    661   126    0   -1   -1   125
786   75    101   157    0   528   33   685
786   167    742   248    0   -204   1   44
786   161    634   152    0   0   1   152
786   162    640   146    0   0   1   146
786   156    421   158    0   207   207   365
805   64    90   150    63   565   25   715
807   31    39   67    65   701   107   768
910   83    108   178    0   624   12   802
927   171    811   116    0   0   -1   116
927   20    28   202    0   697   4   899
927   174    896   114    0   -83   -1   31
927   178    903   210    0   -186   -1   24
927   177    902   211    0   -186   -1   25
927   169    796   130    0   1   84   131
927   164    649   138    0   140   139   278
927   163    642   145    0   140   145   285
927   172    830   98    0   -1   -1   97
927   113    153   103    29   671   137   774
927   103    142   232    12   553   255   785
927   170    809   118    0   0   1   118
927   168    788   138    0   1   1   139
940   123    170   66    0   704   188   770
946   10    20   128    0   798   0   926
1002   106    148   210    0   644   243   854
1002   23    31   273    0   698   5   971
1009   110    151   198    28   660   277   858
1016   91    120   102    0   794   143   896
1021   16    24   220    0   777   128   997
1021   180    954   68    0   -1   -1   67
1021   181    961   61    0   -1   -1   60
1021   179    951   70    0   0   1   70
1021   173    834   94    0   93   93   187
1021   61    89   81    42   851   8   932
1080   187    1050   30    0   0   -1   30
1080   62    89   208    0   783   372   991
1080   186    1041   39    0   0   -1   39
1080   182    967   54    0   59   58   113
1080   185    1036   43    0   1   1   44
1114   175    896   214    0   4   3   218
1118   41    59   247    0   812   233   1059
1151   117    156   136    0   859   262   995
1154   190    1114   41    0   -1   -1   40
1154   191    1117   38    0   -1   -1   37
1154   193    1140   85    0   -71   -1   14
1154   189    1107   47    0   0   1   47
1154   188    1080   73    0   1   1   74
