TT  PID  AT  CT  IO_D  WT  RT  TRT
16   6    14   2    0   0   0   2
73   31    53   13    0   7   7   20
78   25    46   21    0   11   -1   32
78   269    77   229    0   -228   -1   1
78   263    28   50    0   0   -1   50
78   3    8   62    0   8   8   70
84   35    63   10    0   11   -1   21
114   11    21   66    18   27   -1   93
130   43    78   46    0   6   6   52
130   60    106   13    0   11   11   24
134   68    121   4    0   9   9   13
138   270    78   117    0   -57   -1   60
138   272    85   110    0   -57   -1   53
138   29    49   110    0   -21   -1   89
138   273    110   107    0   -79   -1   28
138   55    95   224    0   -181   -1   43
138   268    45   187    0   -94   -1   93
138   271    79   227    0   -168   -1   59
138   264    37   102    0   -1   -1   101
138   274    112   105    0   -79   -1   26
138   59    104   92    0   -58   -1   34
138   49    84   121    23   -67   -1   54
138   261    10   128    0   0   1   128
138   262    22   117    0   -1   56   116
138   2    5   133    0   0   0   133
143   40    72   19    0   52   15   71
144   65    116   10    0   18   18   28
145   74    135   1    0   9   9   10
161   47    81   20    0   60   30   80
178   20    38   44    0   96   -1   140
178   39    70   66    0   42   -1   108
178   48    83   185    0   -90   -1   95
178   9    19   253    21   -94   0   159
178   61    109   196    0   -127   -1   69
178   276    146   90    0   -58   -1   32
178   8    18   270    0   -110   0   160
178   277    148   155    0   -125   -1   30
178   69    121   118    0   -61   -1   57
178   73    132   1    0   45   -1   46
178   76    135   246    0   -203   -1   43
178   56    98   294    0   -214   -1   80
178   281    166   12    0   0   -1   12
178   75    135   262    0   -219   10   43
178   278    151   152    0   -125   -1   27
178   282    170   16    0   -8   -1   8
178   266    40   98    0   40   98   138
178   85    151   18    0   9   9   27
186   285    178   34    0   -26   -1   8
186   100    180   82    0   -76   -1   6
186   101    180   69    0   -63   -1   6
186   102    181   214    0   -209   -1   5
186   45    81   116    0   -11   -1   105
186   99    177   8    0   1   -1   9
186   284    177   35    0   -26   -1   9
186   286    182   82    0   -78   -1   4
186   104    184   57    0   -55   -1   2
186   37    66   80    0   40   77   120
186   42    76   206    0   -96   -1   110
186   88    156   107    0   -77   -1   30
186   280    160   18    0   8   -1   26
186   87    156   86    0   -56   22   30
186   89    158   19    0   9   9   28
188   18    35   74    0   79   -1   153
192   91    162   21    0   9   9   30
199   23    42   7    0   150   150   157
202   10    21   57    0   124   -1   181
212   14    27   29    0   156   11   185
230   82    146   69    0   15   15   84
232   265    40   192    0   0   -1   192
232   267    41   37    0   154   -1   191
232   96    171   115    0   -54   -1   61
232   120    206   6    0   20   -1   26
232   121    207   106    0   -81   -1   25
232   66    119   162    0   -49   -1   113
232   30    52   24    0   156   21   180
232   289    217   110    0   -95   -1   15
232   292    229   140    0   -137   -1   3
232   1    5   216    0   11   11   227
235   291    226   101    0   -92   -1   9
235   80    143   70    0   22   8   92
235   71    126   21    0   88   -1   109
235   64    114   45    0   76   -1   121
235   44    81   239    0   -85   -1   154
235   137    233   25    0   -23   -1   2
235   138    235   179    0   -179   -1   0
235   33    57   239    0   -61   10   178
235   106    185   39    0   11   11   50
238   46    81   26    0   131   131   157
242   124    215   22    0   5   5   27
248   283    175   11    0   62   62   73
255   132    227   28    0   0   -1   28
274   125    218   32    0   24   24   56
295   105    184   57    0   54   54   111
296   24    45   30    0   221   209   251
311   63    114   81    0   116   116   197
320   182    301   8    0   11   11   19
330   92    164   37    0   129   11   166
349   179    301   29    0   19   19   48
355   162    268   6    0   81   81   87
360   207    341   11    0   8   8   19
361   170    279   31    0   51   51   82
367   300    270   104    0   -7   -1   97
367   301    272   102    0   -7   -1   95
367   303    305   163    0   -101   -1   62
367   295    246   26    0   95   -1   121
367   290    222   13    0   132   -1   145
367   293    236   47    0   84   -1   131
367   294    241   31    0   95   -1   126
367   299    260   148    0   -41   -1   107
367   275    141   95    0   131   -1   226
367   305    349   224    0   -206   -1   18
367   297    257   103    0   7   -1   110
367   298    258   150    0   -41   -1   109
367   279    159   183    0   25   27   208
367   287    203   32    0   132   37   164
367   143    243   106    0   18   11   124
373   167    273   6    0   94   84   100
379   191    319   51    0   9   9   60
386   5    11   76    0   299   8   375
388   147    250   9    0   129   129   138
396   203    332   36    0   28   28   64
399   34    60   15    0   324   297   339
401   185    307   15    0   79   21   94
414   51    87   21    0   306   272   327
439   12    24   71    0   344   194   415
440   57    100   75    0   265   7   340
443   241    404   4    0   35   35   39
457   219    357   50    0   50   50   100
468   226    371   32    9   65   6   97
468   236    391   219    0   -142   -1   77
468   307    380   35    0   53   -1   88
468   309    384   31    0   53   -1   84
468   311    410   56    0   2   -1   58
468   313    433   87    0   -52   -1   35
468   172    285   83    0   100   -1   183
468   22    42   209    22   217   14   426
468   41    75   168    0   225   355   393
468   180    301   112    0   55   -1   167
468   145    244   188    0   36   -1   224
468   155    258   280    0   -70   -1   210
468   165    272   17    0   179   24   196
468   116    199   31    0   238   39   269
468   128    222   35    0   211   -1   246
468   109    191   42    0   235   41   277
468   32    55   53    0   360   109   413
468   122    210   50    0   208   -1   258
468   131    224   80    0   164   -1   244
468   123    213   83    0   172   -1   255
468   166    272   122    0   74   -1   196
468   157    260   143    0   65   -1   208
468   135    230   175    0   63   -1   238
468   126    220   180    0   68   -1   248
468   118    203   186    0   79   -1   265
468   129    223   195    0   50   -1   245
468   308    380   256    0   -168   -1   88
468   306    370   244    0   -146   -1   98
468   238    397   273    0   -202   11   71
468   232    383   17    0   68   -1   85
468   233    386   133    0   -51   -1   82
468   310    396   70    0   2   -1   72
468   86    154   292    0   22   5   314
468   210    347   282    0   -161   -1   121
468   134    230   217    0   21   164   238
468   7    15   84    0   369   0   453
468   154    256   91    0   121   -1   212
468   117    200   162    0   106   39   268
