TT  PID  AT  CT  IO_D  WT  RT  TRT
1454   159    251   126    0   1077   1038   1203
1495   251    1319   154    0   22   -1   176
1495   252    1327   146    0   22   -1   168
1495   249    1101   182    0   212   190   394
1533   198    315   145    0   1073   8   1218
1596   125    199   196    0   1201   422   1397
1661   70    111   131    0   1419   1094   1550
1665   18    31   201    0   1433   1284   1634
1689   254    1557   110    0   22   -1   132
1689   255    1558   109    0   22   -1   131
1689   253    1539   116    0   34   12   150
1710   171    269   124    0   1317   596   1441
1729   47    80   176    0   1473   42   1649
1871   156    249   221    0   1401   1347   1622
1883   63    98   191    0   1594   1347   1785
1938   152    242   136    0   1560   647   1696
1949   31    52   118    0   1779   944   1897
1960   33    55   138    0   1767   1158   1905
2009   100    158   150    0   1701   38   1851
2010   257    1857   131    0   22   -1   153
2010   258    1863   125    0   22   -1   147
2010   256    1851   132    0   27   5   159
2033   65    102   188    62   1743   44   1931
2072   221    351   292    0   1429   357   1721
2123   216    343   126    41   1654   669   1780
2129   132    213   148    0   1768   18   1916
2152   222    354   155    0   1643   1145   1798
2227   260    2039   177    0   11   -1   188
2227   261    2047   169    0   11   -1   180
2227   259    2013   200    0   14   3   214
2237   130    210   140    0   1887   1011   2027
2241   191    302   127    32   1812   718   1939
2337   109    174   209    81   1954   1221   2163
2347   170    266   166    0   1915   1463   2081
2368   42    71   185    0   2112   43   2297
2450   263    2326   113    0   11   -1   124
2450   264    2329   110    0   11   -1   121
2450   262    2302   121    0   27   5   148
2462   145    227   182    0   2053   1059   2235
2493   75    116   273    0   2104   856   2377
2524   194    306   207    0   2011   323   2218
2618   148    232   297    0   2089   1294   2386
2620   266    2457   152    0   11   -1   163
2620   267    2467   142    0   11   -1   153
2620   265    2450   152    0   18   7   170
2648   201    322   248    46   2078   370   2326
2731   208    331   190    0   2210   282   2400
2748   213    340   230    0   2178   727   2408
2846   127    203   173    0   2470   1034   2643
2877   46    77   197    0   2603   1698   2800
2895   188    296   211    0   2388   1479   2599
2942   176    279   242    0   2421   10   2663
2963   137    221   215    0   2527   1508   2742
2969   269    2677   237    0   55   -1   292
2969   270    2680   234    0   55   -1   289
2969   268    2656   246    0   67   1   313
2984   189    299   162    44   2523   282   2685
3088   192    304   247    0   2537   795   2784
3107   14    23   285    0   2799   629   3084
3116   183    288   183    0   2645   1493   2828
3212   272    3013   188    0   11   -1   199
3212   273    3015   186    0   11   -1   197
3212   271    3008   189    0   15   4   204
3250   232    369   212    26   2669   762   2881
3324   209    334   206    0   2784   1470   2990
3436   158    250   242    0   2944   706   3186
3579   119    189   292    0   3098   962   3390
3580   106    171   207    0   3202   1355   3409
3617   275    3421   152    0   44   -1   196
3617   276    3450   123    0   44   -1   167
3617   274    3351   207    0   59   15   266
3622   60    93   299    33   3230   344   3529
3712   107    171   246    28   3295   1225   3541
3755   26    45   241    0   3469   1046   3710
3867   146    227   279    0   3361   1582   3640
3964   114    179   254    24   3531   1597   3785
3982   197    314   226    0   3442   1107   3668
4033   21    39   248    0   3746   2091   3994
4327   199    317   174    0   3836   1183   4010
4374   195    309   264    0   3801   9   4065
4380   278    4292   66    0   22   -1   88
4380   279    4331   38    0   11   -1   49
4380   277    4270   81    0   29   7   110
4409   27    46   235    0   4128   1741   4363
4463   140    222   291    0   3950   1585   4241
4480   160    252   297    0   3931   146   4228
4527   151    239   288    21   4000   908   4288
4528   174    276   290    66   3962   664   4252
4569   166    261   251    0   4057   703   4308
4579   234    372   221    0   3986   1411   4207
4615   203    324   299    0   3992   26   4291
Processes: 279
Avg WT: 832.853,  Avg RT: 280.853, Avg TRT: 985.28
Migration %: RTF:3.58423% MaxW: 75.6272%
Work Steal % : 111.828%
Forked Process % : 1.79211%
Killed process % : 10.7527%

Processors: 7 [1 FCFS, 4 SJF, 1 RR, 1EDF]
Processors Load
P1=1.09825%, P2=1.2674%, P3=1.15972%, P4=1.12116%, P5=1.26195%, P6=N/A, P7=0.616604%, 
Processors Util
P1=72.8875%, P2=82.228%, P3=76.7638%, P4=75.0061%, P5=83.53%, P6=90.4943%, P7=40.4921%, 
Avg Util: 74%
Percentage of processes completed before their expected deadline: 3.58423%
